params,train_mean,train_std,test_mean,test_std
{'n_clusters': 50},0.159224141300552,0.004531196066425066,0.14459224985540775,0.009539992008608906
{'n_clusters': 100},0.24078598271868365,0.004334247615939289,0.21405477687672536,0.004394452209859437
{'n_clusters': 150},0.30012138570911384,0.0034547966782943677,0.25840521926748133,0.005384576552887806
{'n_clusters': 200},0.3458387269366191,0.0049916250068644755,0.29931272534855957,0.008693473385913609
{'n_clusters': 250},0.37722817168542494,0.0052867084466197345,0.32726004864862646,0.011030967421392921
{'n_clusters': 300},0.4015800390223273,0.005152370803061717,0.3436617320715865,0.007953598542044419
{'n_clusters': 350},0.425172668992628,0.0058677513055863445,0.35581096768106846,0.00914290630722933
{'n_clusters': 400},0.4438541244165073,0.004329272996956512,0.36391182538998895,0.00974124833022451
{'n_clusters': 450},0.4629406046858831,0.0035670101252659493,0.3716104910393824,0.008630817007611072
{'n_clusters': 500},0.47868582541192894,0.002852518101125078,0.3786987928085353,0.010257898230199024
{'n_clusters': 550},0.49473488205197214,0.0035080086073245413,0.3809248981701389,0.00941552726652473
{'n_clusters': 600},0.5089103800031396,0.0029697091256350484,0.3886215128656338,0.01043621396255234
{'n_clusters': 650},0.5211623014843222,0.0031725816948669047,0.39186222512090374,0.01151388726992922
{'n_clusters': 700},0.5340218819782847,0.0035616605246131887,0.3955063600080398,0.009727980587217569
{'n_clusters': 750},0.547337120229136,0.004026013562288328,0.4007705433797259,0.008814725049141015
{'n_clusters': 800},0.5586270548395055,0.004093662516724796,0.40360639733540066,0.008639451100279114
{'n_clusters': 850},0.5695626744070561,0.004073157437164405,0.40624064252283737,0.008779387915952461
{'n_clusters': 900},0.5810044949363884,0.004165712911734148,0.410493705622485,0.010325185790800427
{'n_clusters': 950},0.5924463539113636,0.004684848394177605,0.41413948127274003,0.011836315510901441
{'n_clusters': 1000},0.6031794546485587,0.0047128885570478125,0.41535344088535575,0.00977024792987404
{'n_clusters': 1050},0.6144188332388211,0.0040538415416458504,0.4179854300235039,0.009465773774257297
{'n_clusters': 1100},0.6270249544258943,0.0027410390307149512,0.41940366464442613,0.012805473979231867
{'n_clusters': 1150},0.6378086752592678,0.0025701442066614053,0.42345368330810657,0.013457402304841368
{'n_clusters': 1200},0.64940243296842,0.0025830795385156707,0.4254783849968621,0.011854051624169776
{'n_clusters': 1250},0.6597811545867254,0.0028211819153919227,0.4287176615844029,0.01161499859141342
{'n_clusters': 1300},0.6706661156124551,0.002634226435780961,0.4321603927986907,0.010184244410137957
{'n_clusters': 1350},0.6810447987851177,0.0028636441024011876,0.43438793382802343,0.010234366981479625
{'n_clusters': 1400},0.6912209631274248,0.0030866642627681816,0.43661650033430555,0.01116210836645603
{'n_clusters': 1450},0.7012452671811975,0.0032319100640042153,0.4394517390038106,0.010198319683567773
{'n_clusters': 1500},0.7113202041463625,0.002806921309675953,0.4439068210624761,0.010791882698855663
{'n_clusters': 1550},0.7210913051975305,0.002642214599028165,0.4475517763311716,0.010789836335272654
{'n_clusters': 1600},0.7306093442134503,0.002448380859248201,0.4493756896332484,0.01098219107020826
{'n_clusters': 1650},0.7404311422520817,0.002968425842288579,0.450995122831629,0.010923077333990745
{'n_clusters': 1700},0.7504048005792476,0.003846900077813099,0.4532232791471313,0.010660470590577472
{'n_clusters': 1750},0.7604291302634488,0.0037691661704108356,0.456057697435077,0.009785680996304086
